READ,2023-05-13 23:02:04
READ ELEV_SCOALA_GENERALA,23:27:17 2023-05-13
CREATE MATERIE, 23:59:42 2023-05-13
CREATE MATERIE, 23:59:42 2023-05-13
CREATE MATERIE, 23:59:42 2023-05-13
CREATE MATERIE, 23:59:42 2023-05-13
CREATE MATERIE, 23:59:42 2023-05-13
CREATE LOCATIE, 23:59:42 2023-05-13
CREATE LOCATIE, 23:59:42 2023-05-13
CREATE MATERIE, 23:59:43 2023-05-13
CREATE MATERIE, 23:59:43 2023-05-13
CREATE MATERIE, 23:59:43 2023-05-13
CREATE MATERIE, 23:59:43 2023-05-13
CREATE MATERIE, 23:59:43 2023-05-13
CREATE MATERIE, 23:59:43 2023-05-13
CREATE LOCATIE, 23:59:43 2023-05-13
CREATE ELEV_SCOALA_GENERALA, 23:59:43 2023-05-13
CREATE LOCATIE, 23:59:43 2023-05-13
CREATE ELEV_SCOALA_GENERALA, 23:59:43 2023-05-13
CREATE MATERIE, 00:01:30 2023-05-14
CREATE MATERIE, 00:01:30 2023-05-14
CREATE MATERIE, 00:01:30 2023-05-14
CREATE MATERIE, 00:01:30 2023-05-14
CREATE MATERIE, 00:01:30 2023-05-14
CREATE LOCATIE, 00:01:30 2023-05-14
CREATE LOCATIE, 00:01:31 2023-05-14
CREATE MATERIE, 00:01:31 2023-05-14
CREATE MATERIE, 00:01:31 2023-05-14
CREATE MATERIE, 00:01:31 2023-05-14
CREATE MATERIE, 00:01:31 2023-05-14
CREATE MATERIE, 00:01:31 2023-05-14
CREATE MATERIE, 00:01:31 2023-05-14
CREATE LOCATIE, 00:01:31 2023-05-14
CREATE ELEV_SCOALA_GENERALA, 00:01:31 2023-05-14
CREATE LOCATIE, 00:01:31 2023-05-14
CREATE ELEV_SCOALA_GENERALA, 00:01:31 2023-05-14
READ ELEV_SCOALA_GENERALA, 00:02:14 2023-05-14
READ LOCATIE, 00:02:14 2023-05-14
READ ELEV_SCOALA_GENERALA, 00:02:14 2023-05-14
UPDATE ELEV_SCOALA_GENERALA, 00:03:27 2023-05-14
UPDATE ELEV_SCOALA_GENERALA, 00:03:27 2023-05-14
DELETE ELEV_SCOALA_GENERALA, 00:04:12 2023-05-14
DELETE ELEV_SCOALA_GENERALA, 00:04:12 2023-05-14
